translate_id,description,en,es
nav-home,Navigation menu Home option,Home,Inicio
nav-browse,Navigation menu Browse option,Browse,Búsqueda
nav-subjects,Navigation menu Subjects option,Subjects,Categorías
nav-locations,Navigation menu Locations option,Locations,Ubicaciones
nav-map,Navigation menu Map option,Map,Mapa
nav-timeline,Navigation menu Timeline option,Timeline,Cronología
nav-data,Navigation menu Data option,Data,Datos
nav-about,Navigation menu About option,About,Sobre
home-featured-image,Home featured image button,Featured Image,Foto principal
home-description,Home description card title,Description,Descripción
home-learn,Home learn more button,Learn More,Aprende más
home-carousel-items,Home carousel card title,Sample Items,Artículos de muestra
home-view-item,Home carousel view item button,View Item,Ver ítem
home-time,Home time span card title,Time Span,Espacio de tiempo
home-timeline,Home time span button,View Timeline,Ver cronología
home-subjects,Home top subjects card title,Top Subjects,Categorías principales
home-locations,Home top locations card title,Locations,Ubicaciones
home-objects,Home objects card title,Objects,Objetos
home-objects-images,Home objects card images button,Images,Imágenes
home-objects-audio,Home objects card audio button,Audio,Audio
home-objects-video,Home objects card videos button,Videos,Vídeos
home-objects-pdf,Home objects card PDFs button,PDFs,PDFs
home-table,Home objects card button,View table,Ver tabla
home-data,Home data download card title,Collection as Data,Recopilación como datos
home-data-download,Home data download card subtitle,click to download,haga clic para descargar
home-built,Home footer built with,built with,construido con
home-update,Home footer last updated,Last updated,Última actualización
data-download-metadata-csv,Metadata CSV download button,Metadata CSV,Metadatos CSV
data-download-metadata-json,Metadata JSON download button,Metadata JSON,Metadatos JSON
data-download-subjects-csv,Subjects CSV download button,Subjects CSV,Categorías CSV
data-download-subjects-json,Subjects JSON download button,Subjects JSON,Categorías JSON
data-download-geodata-json,Geodata JSON download button,Geodata JSON,Geodatos JSON
data-download-locations-csv,Locations CSV download button,Locations CSV,Ubicaciones CSV
data-download-locations-json,Locations JSON download button,Locations JSON,Ubicaciones JSON
data-download-timeline-json,Timeline JSON download button,Timeline JSON,Cronología JSON
data-download-facets-json,Facets JSON download button,Facets JSON,Facetas JSON
data-download-timelinejs-json,TimelineJS JSON download button,TimelineJS JSON,TimelineJS JSON
data-download-source-code,Source code download button,Source Code,Código fuente
item-breadcrumb-browse,Navigation menu Browse option,Browse,Búsqueda
item-view-full,Instructions underneath item image,Click to view full screen,Click para ver pantalla completa
item-download-image,Item page image download button,Download Image,Descargar imagen
